pop,easting,northing,elev,site
NR_LowerSouth,452901.54015586135,4434080.489148982,3425,Niwot Ridge
NR_UpperSouth,452852.29347270296,4434305.495367272,3486,Niwot Ridge
NR_LowerNorth,452893.4248399182,4434888.983169896,3422,Niwot Ridge
NR_UpperTop,452813.7952359189,4434342.692710486,3493,Niwot Ridge
NR_LowerTop,453200.5247036086,4434875.11466544,3392,Niwot Ridge
NR_UpperNorth,452737.21726871066,4434454.021908526,3481,Niwot Ridge
JP_WestNorth,424428.70743549714,4404522.378819036,3706,Jones Pass
JP_WestSouth,424395.88930795866,4404485.278206183,3707,Jones Pass
JP_EastNorth,424571.8997165659,4404452.065930098,3721,Jones Pass
JP_EastSouth,424688.99814572453,4404373.900526032,3710,Jones Pass
JP_EastTop,424880.55523074995,4404326.091078297,3707,Jones Pass
JP_WestTop,424750.48062231974,4404363.37911629,3712,Jones Pass
GP_UpperSouth,435853.6957206354,4383134.053805836,3878,Guanella Pass
GP_UpperNorth,436196.1037944124,4383360.872906024,3874,Guanella Pass
GP_LowerSouth,436674.0655035458,4381934.355922622,3651,Guanella Pass
GP_LowerNorth,436843.93134604587,4381935.746200057,3645,Guanella Pass
GP_LowerTop,436733.84386846976,4381931.020835094,3650,Guanella Pass
GP_UpperTop,436298.2629095954,4383332.795222732,3871,Guanella Pass
